ticker,name,sector,industry,type
ABEV3,Ambev S.A.,Consumer Defensive,Beverages—Brewers,Ação
ALPA4,Alpargatas S.A.,Consumer Cyclical,Footwear & Accessories,Ação
ALSO3,Aliansce Sonae Shopping Centers S.A.,Real Estate,REIT—Retail,FII
ARZZ3,Arezzo Indústria e Comércio S.A.,Consumer Cyclical,Apparel Retail,Ação
ASAI3,Assaí Atacadista S.A.,Consumer Defensive,Grocery Stores,Ação
AZUL4,Azul S.A.,Industrials,Airlines,Ação
B3SA3,B3 S.A. - Brasil, Bolsa, Balcão,Financial Services,Financial Data & Stock Exchanges,Ação
BBAS3,Banco do Brasil S.A.,Financial Services,Banks—Global,Ação
BBDC3,Banco Bradesco S.A.,Financial Services,Banks—Global,Ação
BBDC4,Banco Bradesco S.A.,Financial Services,Banks—Global,Ação
BBSE3,BB Seguridade Participações S.A.,Financial Services,Insurance—Property & Casualty,Ação
BEEF3,Minerva S.A.,Consumer Defensive,Packaged Foods,Ação
BPAC11,Banco BTG Pactual S.A.,Financial Services,Banks—Global,Ação
BPAN4,Banco Pan S.A.,Financial Services,Banks—Regional,Ação
BRAP4,Bradespar S.A.,Basic Materials,Other Industrial Metals & Mining,Ação
BRFS3,BRF S.A.,Consumer Defensive,Packaged Foods,Ação
BRKM5,Braskem S.A.,Basic Materials,Chemicals,Ação
CASH3,Méliuz S.A.,Technology,Software—Application,Ação
CCRO3,CCR S.A.,Industrials,Infrastructure Operations,Ação
CIEL3,Cielo S.A.,Technology,Software—Infrastructure,Ação
CMIG4,Companhia Energética de Minas Gerais,Utilities,Utilities—Regulated Electric,Ação
CMIN3,CSN Mineração S.A.,Basic Materials,Other Industrial Metals & Mining,Ação
COGN3,Cogna Educação S.A.,Consumer Defensive,Education & Training Services,Ação
CPFE3,CPFL Energia S.A.,Utilities,Utilities—Regulated Electric,Ação
CPLE6,Companhia Paranaense de Energia,Utilities,Utilities—Regulated Electric,Ação
CRFB3,Carrefour Brasil S.A.,Consumer Defensive,Grocery Stores,Ação
CSAN3,Companhia Siderúrgica Nacional,Basic Materials,Steel,Ação
CSNA3,Companhia Siderúrgica Nacional,Basic Materials,Steel,Ação
CVCB3,CVC Brasil Operadora e Agência de Viagens S.A.,Consumer Cyclical,Travel & Leisure,Ação
